Wall time,Step,Value
1716331544.6380725,42,4.0
1716331545.7882824,45,4.0
1716331556.4318254,71,4.0
1716331565.5473835,94,4.0
1716331592.3042238,167,3.999999761581421
1716331615.2829986,229,4.0
1716331617.143154,234,4.0
1716331625.1088254,255,4.0
1716331631.919233,273,4.0
1716331645.1644592,308,4.0
1716331646.0517085,310,4.0
1716331648.9095817,318,4.0
1716331706.8602564,474,4.0
1716331730.5372562,536,4.0
1716331745.9547713,579,4.0
1716331748.4528425,586,4.0
1716331766.0227723,634,4.0
1716331770.7106843,647,4.0
1716331779.6718554,671,4.0
1716331795.553796,714,4.0
1716331798.390854,722,4.0
1716331821.0621314,785,4.0
1716331827.319739,802,3.999999761581421
1716331829.4392207,808,4.0
1716331839.8330858,836,4.0
1716331940.7332735,971,4.0
1716331956.5133069,1014,4.0
1716331975.3132079,1066,4.0
1716331989.1542742,1104,4.0
1716332016.7848322,1180,4.0
1716332046.7981255,1261,4.0
1716332067.2963119,1316,4.0
1716332068.530276,1319,4.0
1716332073.7967176,1333,3.999999761581421
1716332075.3361456,1337,4.0
1716332093.1011686,1385,4.0
1716332095.553974,1392,4.0
1716332111.4480438,1436,3.999999761581421
1716332121.957979,1466,4.0
1716332142.9094546,1523,4.0
1716332153.263583,1552,4.0
1716332158.9860692,1568,4.0
1716332164.4342568,1584,4.0
1716332203.568381,1691,4.0
1716332213.2369308,1718,4.0
1716332219.0233924,1734,4.0
1716332220.2150989,1737,4.0
1716332236.214764,1781,4.0
1716332258.6679683,1844,4.0
1716332266.4823713,1866,4.0
1716332270.446367,1877,4.0
1716332336.6375463,1917,4.0
1716332342.8601086,1934,3.999999761581421
1716332347.6849375,1947,4.0
1716332380.1834319,2036,4.0
1716332401.4353428,2096,4.0
1716332434.150407,2187,4.0
1716332438.596839,2199,3.999999761581421
1716332450.4904275,2231,4.0
1716332452.792811,2237,4.0
1716332461.9006202,2262,3.999999761581421
1716332478.4334705,2307,4.0
1716332508.9270682,2389,3.999999761581421
1716332526.979936,2436,3.999999761581421
1716332532.9420826,2453,4.0
1716332533.6659958,2455,4.0
1716332535.4619126,2460,3.999999761581421
1716332544.4995763,2485,4.0
1716332544.826488,2486,4.0
1716332549.2260332,2498,3.999999761581421
1716332551.0741239,2503,4.0
1716332561.2462902,2532,4.0
1716332566.7201622,2547,3.999999761581421
1716332568.9006739,2553,4.0
1716332617.687195,2685,3.999999761581421
1716332637.3958051,2740,4.0
